Item number;Name;Station code
1;IShevchenko (OP.);333736
2;Aakre (OP);85827
3;Aapsta (OP.);574066
4;Aardla (OP);85780
5;Abadan;737139
6;Abadan I (b.ü9Z) (dzd.);753112
7;Abadan II;753108
8;Abazovka;447602
9;Abail;699767
10;abaclia;398904
11;Abamelikovo;408006
12;Abasha;571706
13;Ablyk 8n;722701
14;Abovyan;568101
15;Apricot (OP.);500217
16;Abyla (OP);670920
17;August (rzd.);429106
18;Avdiivka;482803
19;Avraamovskaya (OP.);154529
20;Aurora;712502
21;Bus station (OP.);428090
22;Avchala;560307
23;Avchala (exp.);560330
24;Agara;578705
25;Agbent;551168
26;Agdam;555506
27;agin;566407
28;Aglona;113406
29;Agronomic (OP.);487421
30;Agudzera (OP.);573813
31;Aguris Karkhana (OP);571119
32;Agur Karkhana;571808
33;Adabash;423805
34;Adamovo;162012
35;Adamovskoe (OP.);458611
36;Adampol;337604
37;Ajameti;575707
38;Ajibugut(b. 141 km);732402
39;Adzyubzha (rzd.);573701
40;Adrovka (OP.);168663
41;Ajiniyaz (resp.);737124
42;Aza;550023
43;Azadikent;552635
44;Azat;687508
45;Azatlyk;749301
46;Azizbekova (OP.);547684
47;Azovstal (OP.);484713
48;Airtau;709162
49;Ayamaa (OP.);85757
50;Aivazovskaya;868405
51;Aivazovskaya;868405
52;Aygevan;569405
53;Aigyrzhal;708742
54;Aiding;753945
55;Aizkraukle;93700
56;Eike;682100
57;Aina Bulak;701300
58;Aini;745506
59;Aini (exp.);745402
60;Airite (OP.);93332
61;Ayrum;564702
62;Ayrum (exp.);569706
63;Airyktas (rzd.);669444
64;Airytam;733405
65;Aisa;675939
66;Aysars;694107
67;Aitek (OP.);671529
68;Aiteke BI;669105
69;Academgorodok (OP.);322322
70;Akadyr (former Agadyr);677205
71;Akaltyn;724904
72;Akara;551505
73;Akarmara;573504
74;Akbalyk;702657
75;Akbarabad;743214
76;Ak-Bulak;667307
77;Ak-Bulat;708621
78;Akdala (resp.);698112
79;Akjaguima;753926
80;Akespe (div.);670051
81;Akzhaydak;677900
82;Akzhayik;661601
83;Akzhar (rzd.);670583
84;Akzhigit;662708
85;Akimovka;475903
86;Akimovka (OP.);411831
87;Akkavak;721304
88;Akkarzha (exp.);401401
89;Akkarzha;401905
90;Akkemir;668507
91;Ak-Kistau;662106
92;Akkudyk;668901
93;Akkudyk (former Bolshoi Metallurgical);674122
94;Ak-Kul;692601
95;Akkum;672536
96;Akmaya (Rzd.);672216
97;Akmyane;126707
98;Aknan (OP);698042
99;Aksenger (rezd.);703804
100;Akstafa;557200
101;Aksu (obgp) (exp.);679107
102;Aksu (regional gp);679111
103;Aksu I;695701
104;Aksu II;695716
105;Aksuat;686007
106;Aksuv;752228
107;Aksyutovka (OP.);444322
108;Aktay (f. Ktay);675525
109;Aktailak (OP.);671548
110;Aktas (OP.);698242
111;Aktasty;673505
112;Aktau (OP.);673416
113;Aktau Port;663503
114;Aktau-Port (transl.;Kazakh
115;Aktau-Port-Ferry;663404
116;Aktautas;706431
117;Aktobe;667909
118;Ak-Tobe;737048
119;Aktogay;708009
120;Aktogay-Vostochny (OP.);708155
121;Akuaskia (OP.);573326
122;Ak-Uzyak;702430
123;Acura (OP);562317
124;Ak?a;722805
125;Ak-Chulak;707307
126;Akshagyl;677239
127;Akshokat (rzd.);697711
128;Akyr-Tube;707400
129;Ala-Aigir;703113
130;Alabas (rzd.);669529
131;Alabashly;556602
132;Alaverdi;564903
133;Alagide;702407
134;Alamedin;716908
135;Alanda (OP);98649
136;Alat;730708
137;Alatun;733301
138;Albaly (OP.);547552
139;Alga;668301
140;Algabas;666304
141;Aldara (OP);551115
142;Alabaster (OP.);494529
143;Aleevka (OP.);410241
144;Alexandria (OP.);156929
145;Alexandria;410400
146;Alexandria-Rovno (OP.);356634
147;Alexandrovka (OP.);451951
148;Alexandrovka (OP.);433633
149;Alexandrovka (OP.);149111
150;Alexandrovka (OP.);506815
151;Alexandrovka;413108
152;Alexandrovka (OP.);423627
153;Aleksino (OP);445842
154;Alexander;395408
155;Alyonushka (OP.);133310
156;Aleshcha;161607
157;Alescha (exp.);161202
158;Alzhan (.Aldzhan) (rzd.);667913
159;Alikent;554927
160;Alimova (former Zaporozhye-Maloe);460630
161;Alytus;123605
162;Alytus II (OP.);123613
163;Aliaga;404202
164;Alkau (rzd.);684020
165;Alma-Ata I;700007
166;Alma-Ata II;700100
167;Diamond (OP.);322411
168;Almazar;724302
169;Alotene;117619
170;Altyaryk;742404
171;Alty-Kuduk (rzd.);670314
172;Altyn asar (former Maiskaya);755000
173;Altyn Sahra;751600
174;Altyndala (resp.);700810
175;Altynkolat (rzd.);708738
176;Altynivka;327701
177;Altynsarin;683403
178;Altyntau (former Aksu);693903
179;Aluksne (narrow);99232
180;Alksnenay (OP.);124114
181;Aluminstroy (OP.);546422
182;Alyat;548502
183;Alyat-Novaya;548703
184;Amalai (OP.);122941
185;Amangeldy;666605
186;Barns;444910
187;Amvrosievka;487309
188;Amirjans (div.);547750
189;Amuzang (exp.);736507
190;Amuzang;736600
191;Cupid (OP.);450624
192;Amyderya;749102
193;Anaga (OP.);562016
194;Ana-Kul (resp.);670916
195;Anar;690500
196;Anaria (OP);573218
197;Angats (rzd.);666323
198;Angren;722608
199;Andijan I;743604
200;Andijan II;742003
201;Andijan-Northern;743708
202;Andijan-South;743623
203;Andreevichi;136249
204;Andreevka (OP.);444110
205;Andreyashivka;426502
206;Andrusovo;338119
207;Anev;752707
208;Aneny (OP.);390716
209;Ani;566500
210;Anisovo (OP.);325021
211;Anna (OP);85615
212;Annovka (OP.);412726
213;Anrahay;703217
214;Antonina;334207
215;Antonovka;355203
